network,station,latitude,longitude,elevation_m,basin_name,huc_code,huc_name,start_date,end_date
CC,RAFT,46.195679,-122.186317,2132.0,Cowlitz,17080005,Lower Cowlitz,2005-07-28T00:00:00.000000Z,2007-12-31T00:00:00.000000Z
CC,REM,46.2002,-122.1855,1905.44,Cowlitz,17080005,Lower Cowlitz,2018-07-25T00:00:00.000000Z,
CC,RUSH,46.90305,-121.94419,1235.0,Puyallup,17110014,Puyallup,2019-06-20T00:00:00.000000Z,
CC,SEND,46.193501,-122.185432,0.0,Cowlitz,17080005,Lower Cowlitz,2005-06-30T00:00:00.000000Z,2005-11-17T00:00:00.000000Z
CC,SEP,46.19978,-122.190857,2114.0,Cowlitz,17080005,Lower Cowlitz,2004-11-05T00:00:00.000000Z,
CC,SIFT,46.86683,-121.95329,732.0,Puyallup,17110014,Puyallup,2019-06-20T00:00:00.000000Z,
CC,SMSF,46.20771,-122.25082,1116.5,Cowlitz,17080005,Lower Cowlitz,2021-09-16T00:00:00.000000Z,2021-11-22T00:00:00.000000Z
CC,SPN5,46.194698,-122.18837,2263.0,Cowlitz,17080005,Lower Cowlitz,2007-06-18T00:00:00.000000Z,2007-12-31T00:00:00.000000Z
CC,SQCH,46.21581,-122.18914,1664.22,Cowlitz,17080005,Lower Cowlitz,2025-08-21T00:00:00.000000Z,
CC,SR41,46.88668,-121.536642,1454.0,Puyallup,17110014,Puyallup,2015-07-09T00:00:00.000000Z,2018-04-28T00:00:00.000000Z
CC,STD,46.23749,-122.22421,1189.0,Cowlitz,17080005,Lower Cowlitz,2004-10-05T00:00:00.000000Z,
CC,STYX,46.963747,-122.080535,568.31,Puyallup,17110014,Puyallup,2022-05-25T00:00:00.000000Z,
CC,SUG,46.215549,-122.176262,1859.0,Cowlitz,17080005,Lower Cowlitz,2009-08-07T00:00:00.000000Z,
CC,SUNT,47.04005,-121.59674,1598.15,Puyallup,17110014,Puyallup,2025-09-08T00:00:00.000000Z,
CC,SWF2,46.178349,-122.216766,1548.0,,,,2013-08-29T00:00:00.000000Z,
CC,SWFL,46.18867,-122.20203,2268.0,,,,2006-10-01T00:00:00.000000Z,2013-08-28T00:00:00.000000Z
CC,TABR,46.80435,-121.84948,1278.18,Nisqually,17110015,Nisqually,2022-09-26T00:00:00.000000Z,
CC,TACK,46.80334,-121.84436,1357.11,Nisqually,17110015,Nisqually,2023-07-11T00:00:00.000000Z,2023-09-15T00:00:00.000000Z
CC,TACK,46.80334,-121.84436,1357.11,Nisqually,17110015,Nisqually,2024-07-09T00:00:00.000000Z,2024-09-11T20:00:00.000000Z
CC,TACK,46.80334,-121.84436,1357.11,Nisqually,17110015,Nisqually,2025-07-15T00:00:00.000000Z,2025-08-30T00:00:00.000000Z
CC,TAVI,46.7957,-121.88423,1054.65,Nisqually,17110015,Nisqually,2022-09-26T00:00:00.000000Z,
CC,TRON,46.9977,-122.1753,252.74,Puyallup,17110014,Puyallup,2022-05-25T00:00:00.000000Z,
CC,UNFR,46.27251,-122.291983,884.0,Cowlitz,17080005,Lower Cowlitz,2021-06-17T00:00:00.000000Z,
CC,USF,46.21166,-122.25127,1002.97,Cowlitz,17080005,Lower Cowlitz,2025-08-14T00:00:00.000000Z,
CC,USFR,46.215333,-122.232778,1341.75,Cowlitz,17080005,Lower Cowlitz,2022-06-30T00:00:00.000000Z,
CC,VALT,46.214218,-122.189247,1681.0,Cowlitz,17080005,Lower Cowlitz,2006-08-01T00:00:00.000000Z,2024-06-06T19:00:00.000000Z
CC,VOIT,46.96636,-121.98328,977.15,Puyallup,17110014,Puyallup,2019-09-25T00:00:00.000000Z,
CC,WESG,46.195831,-122.193748,2130.0,Cowlitz,17080005,Lower Cowlitz,2005-07-12T00:00:00.000000Z,2005-09-14T23:59:59.000000Z
CC,WOW,46.78003,-121.8851,875.45,Nisqually,17110015,Nisqually,2022-09-27T00:00:00.000000Z,
UW,ABER,46.34275,-123.09923,786.3,Cowlitz,17080005,Lower Cowlitz,2022-07-27T18:00:00.000000Z,
UW,ACES,47.55953,-122.34113,2.7,Duwamish,17110013,Duwamish,2004-03-10T00:00:00.000000Z,2013-08-20T00:00:00.000000Z
UW,ALCT,47.6469,-122.0377,55.0,Lake Washington,17110012,Lake Washington,2000-07-06T00:00:00.000000Z,
UW,ALKI,47.5751,-122.4176,1.0,,,,2004-06-24T00:00:00.000000Z,
UW,ALLI,47.32005,-122.91572,77.5,,,,2020-05-08T00:00:00.000000Z,
UW,ALST,46.10881,-123.03414,198.0,,,,1999-08-30T00:00:00.000000Z,
UW,ANGUS,47.10084,-123.49277,89.7,,,,2021-07-21T00:00:00.000000Z,
UW,APE,46.099461,-122.207497,579.0,,,,1980-03-23T00:00:00.000000Z,1980-06-15T00:00:00.000000Z
UW,APW,46.6576,-122.65798,457.0,,,,1980-12-01T00:00:00.000000Z,1992-05-01T23:59:59.000000Z
UW,ARTIC,46.80521,-123.75867,127.9,,,,2021-04-01T00:00:00.000000Z,
UW,ASF,46.75988,-122.02777,528.0,Nisqually,17110015,Nisqually,1995-03-20T00:00:00.000000Z,1995-06-12T23:59:59.000000Z
UW,ASH,46.20067,-122.18547,1900.0,Cowlitz,17080005,Lower Cowlitz,1981-05-13T00:00:00.000000Z,1981-09-15T23:59:59.000000Z
UW,ASR,46.15259,-121.60164,1357.0,,,,1982-09-01T00:00:00.000000Z,2023-05-16T00:00:00.000000Z
UW,ASR2,46.139699,-121.597405,1273.8,,,,2022-10-20T00:00:00.000000Z,
UW,ATES,48.23617,-122.06042,62.6,Stillaguamish,17110008,Stillaguamish,2001-09-06T00:00:00.000000Z,2012-02-24T00:00:00.000000Z
UW,AUG,45.73595,-121.68174,865.0,,,,1981-10-01T00:00:00.000000Z,
UW,BABE,47.60565,-122.53652,84.1,,,,2001-07-31T00:00:00.000000Z,2019-06-24T20:30:30.000000Z
UW,BAYC,46.59943,-123.94335,12.8,,,,2020-05-25T00:00:00.000000Z,
UW,BDGR,46.85763,-120.29764,642.4,,,,2021-06-29T00:00:00.000000Z,
UW,BDM,46.96804,-120.95319,1811.0,,,,1995-10-01T00:00:00.000000Z,1996-07-16T23:59:59.000000Z
UW,BEAV,45.5274,-122.8428,61.8,,,,2017-10-02T00:00:00.000000Z,
UW,BECK,47.64006,-122.82695,13.3,,,,2020-08-07T00:00:00.000000Z,
UW,BELF,47.46031,-122.826849,14.2,,,,2020-06-18T00:00:00.000000Z,
UW,BERY,48.2641,-122.096,149.6,Stillaguamish,17110008,Stillaguamish,2018-06-19T00:00:00.000000Z,2022-08-09T00:01:01.000000Z
UW,BES3,47.642021,-122.525337,57.0,,,,2017-05-12T00:00:00.000000Z,2017-06-07T00:00:00.000000Z
UW,BES4,47.642681,-122.646469,63.0,,,,2017-05-12T00:00:00.000000Z,2017-06-07T00:00:00.000000Z
UW,BES5,47.58448,-122.568871,4.0,,,,2017-05-12T00:00:00.000000Z,2017-06-07T00:00:00.000000Z
UW,BEVT,47.92497,-122.27811,174.1,,,,2001-02-21T00:00:00.000000Z,
UW,BFW,46.48649,-123.21608,902.0,,,,1972-10-01T00:00:00.000000Z,1980-12-31T23:59:59.000000Z
UW,BHAM,48.78724,-122.41752,116.5,Nooksack,17110004,Nooksack,2021-08-06T00:00:00.000000Z,
UW,BHW,47.83636,-122.03057,152.0,Snohomish,17110011,Snohomish,1984-07-01T00:00:00.000000Z,
UW,BICK,46.040117,-120.33945,1164.1,,,,2021-06-07T00:00:00.000000Z,
UW,BILS,47.53966,-124.25138,62.0,,,,2015-03-30T00:00:00.000000Z,
UW,BLDG,47.27458,-122.21966,33.8,Puyallup,17110014,Puyallup,2020-06-12T00:00:00.000000Z,
UW,BLN,48.006624,-122.972646,601.0,,,,1980-01-11T00:00:00.000000Z,2022-03-25T00:00:00.000000Z
UW,BLOB,46.88353,-123.25042,62.8,,,,2023-06-06T00:00:00.000000Z,
UW,BLS,48.572498,-121.666672,1341.0,Skagit,17110005,Upper Skagit,1985-03-01T00:00:00.000000Z,1985-09-15T00:00:00.000000Z
UW,BLT,45.915,-120.17699,659.0,,,,2005-10-21T00:00:00.000000Z,2025-03-21T00:00:00.000000Z
UW,BNG,47.525375,-122.301674,15.0,Duwamish,17110013,Duwamish,2017-05-31T00:00:00.000000Z,
UW,BOGA,47.947019,-124.394563,88.5,,,,2020-11-03T00:00:00.000000Z,
UW,BOIS,46.55054,-123.13018,79.8,,,,2021-04-28T00:00:00.000000Z,
UW,BOOK,48.01182,-122.523744,40.9,,,,2021-01-14T00:00:00.000000Z,
UW,BOW,46.474831,-123.229301,870.0,,,,1980-11-01T00:00:00.000000Z,2018-08-23T00:00:00.000000Z
UW,BOW2,46.47667,-123.23298,925.0,,,,2018-07-11T00:00:00.000000Z,
UW,BRAV,47.05386,-122.37483,134.1,,,,2020-08-01T00:00:00.000000Z,
UW,BRGL,47.438297,-122.648651,116.2,,,,2020-06-16T00:00:00.000000Z,
UW,BRKS,47.755196,-122.290131,23.0,Lake Washington,17110012,Lake Washington,2000-09-13T00:00:00.000000Z,
UW,BRPT,47.30104,-122.43633,31.3,,,,2020-05-07T00:00:00.000000Z,
UW,BRUIN,48.251709,-124.258624,13.0,,,,2020-06-01T00:00:00.000000Z,
UW,BSFP,47.531864,-122.30777,4.0,Duwamish,17110013,Duwamish,2004-08-08T00:00:00.000000Z,
UW,BST01,47.6817,-122.3917,68.0,Lake Washington,17110012,Lake Washington,2018-08-27T00:00:00.000000Z,2019-02-16T00:00:00.000000Z
UW,BST02,47.67013,-122.30494,44.3,Lake Washington,17110012,Lake Washington,2018-08-28T00:00:00.000000Z,2019-02-18T17:00:00.000000Z
UW,BST03,47.71539,-122.3619,111.4,,,,2018-10-16T00:00:00.000000Z,2019-02-19T04:00:00.000000Z
UW,BST04,47.700889,-122.29483,79.2,Lake Washington,17110012,Lake Washington,2018-10-16T00:00:00.000000Z,2019-02-19T05:00:00.000000Z
UW,BST05,47.68205,-122.32764,58.5,Lake Washington,17110012,Lake Washington,2018-12-29T00:00:00.000000Z,2019-02-19T16:00:00.000000Z
UW,BST06,47.70414,-122.27673,35.6,Lake Washington,17110012,Lake Washington,2019-01-09T00:00:00.000000Z,2019-02-20T02:00:00.000000Z
UW,BST07,47.66538,-122.3488,101.5,Lake Washington,17110012,Lake Washington,2019-02-20T21:00:00.000000Z,2019-06-04T18:00:00.000000Z
UW,BST08,47.68052,-122.36556,69.2,Lake Washington,17110012,Lake Washington,2019-02-22T18:00:00.000000Z,2019-06-06T02:00:00.000000Z
UW,BST09,47.654,-122.30899,37.2,Lake Washington,17110012,Lake Washington,2019-02-23T01:00:00.000000Z,2019-06-12T02:00:00.000000Z
UW,BST09,47.654,-122.30899,37.2,Lake Washington,17110012,Lake Washington,2020-01-02T00:00:00.000000Z,
UW,BST10,47.67498,-122.30693,70.9,Lake Washington,17110012,Lake Washington,2019-02-21T01:00:00.000000Z,2019-05-28T23:59:00.000000Z
UW,BST11,47.64197,-122.32883,0.0,Lake Washington,17110012,Lake Washington,2019-02-27T02:00:00.000000Z,2019-06-13T00:00:00.000000Z
UW,BST12,47.64075,-122.374,45.5,,,,2019-03-05T02:00:00.000000Z,2019-06-04T23:59:00.000000Z
UW,BST13,47.57643,-122.51831,56.9,,,,2019-06-06T19:00:00.000000Z,2019-06-28T18:00:00.000000Z
UW,BST14,47.66044,-122.51651,29.5,,,,2019-06-06T21:00:00.000000Z,2019-06-28T17:00:00.000000Z
